latitude,longitude
55.3635,-157.8876
-58.3753,-25.2637
-29.7228,-177.2794
37.2256,37.0143
55.0715,-158.596
-23.2063,170.7423
-23.0511,171.6566
19.4193,-78.756
-15.6278,-174.4925
-7.0586,130.009
18.4552,-102.9561
-6.2944,146.5038
54.602,-159.6258
38.0106,37.1962
-4.4667,-76.8126
-57.5674,-25.0316
48.9638,157.6955
-29.6768,-177.8398
15.8861,-96.0077
-33.2927,-177.8571
-19.2881,-172.1471
37.7132,141.5793
-7.5482,127.5773
-7.6033,122.2274
-21.1265,174.8958
34.5983,98.2513
-37.4787,179.4576
54.3926,-160.762
-22.9936,-177.1067
-14.9076,-70.2924
18.4335,-73.4822
-6.7888,116.5211
-23.0421,170.5603
-0.8082,98.5112
-29.9574,-177.8386
-60.2845,-24.8743
6.4748,126.7151
37.7265,141.7751
-6.0413,112.0478
-4.3229,143.1658
-30.1741,-176.2047
2.7306,127.0221
-14.9467,166.8791
-9.8198,159.6033
-20.1112,-178.3453
-26.0901,178.3427
-21.1909,170.2666
17.5207,120.8181
-22.586,170.3744
16.9465,-99.753
38.4515,141.6477
4.9931,127.5145
-7.836,147.7704
45.6161,148.959
37.8973,26.7838
-5.4773,146.1215
-17.881,-174.9484
-29.5023,-178.7965
38.0552,73.2287
-4.9043,100.7862
23.138,121.3439
-0.9339,-21.7155
-54.132,159.0545
-22.666,170.3659
56.2954,-156.581
-21.1889,174.5221
-14.8818,167.0585
-58.3686,-23.3552
55.1767,-157.6441
38.1997,141.5973
-61.8098,-55.5027
0.9298,-26.8533
-4.2069,101.2411
-6.71,123.4649
31.058,-8.3847
-43.3991,39.3035
-2.7834,-79.8518
-26.7506,-63.0824
-15.3497,-172.9867
-26.0077,178.2776
18.2633,-102.9554
-22.5907,-114.2583
-23.496,-66.6519
-23.7682,179.9981
52.3415,-167.7554
-27.9686,-71.3062
-4.3217,101.1347
-23.274,-68.4677
-6.7761,129.7852
53.1,-175.5
-5.6034,146.1381
-22.3188,179.4509
37.1893,36.8929
7.6901,-82.3342
23.3839,121.6118
10.7447,-43.382
-0.6294,98.6259
-59.9811,-26.4306
13.7047,120.7259
7.3926,-82.779
-33.0647,-109.3943
0.1364,96.6442
-17.3874,66.3135
-36.2797,-97.8
51.2811,100.4383
-39.3398,-74.9849
38.4312,39.0609
7.6829,-37.1544
-32.7996,-179.3741
-38.1862,-70.4427
20.0634,-61.1021
-25.1498,178.4274
-4.8255,149.5041
-25.5781,178.2612
29.6786,102.236
-32.7361,-179.0088
-22.8282,172.1298
11.5537,-86.9604
-30.0751,-177.7264
-6.86,105.2887
52.5791,-168.3275
35.2267,31.9435
37.8283,101.29
-60.7956,154.1393
23.5935,126.4474
-60.1401,-24.221
-58.0139,-7.843
54.7368,163.1803
12.0257,124.1272
-5.6023,110.6893
28.8591,128.2713
-12.0665,166.6485
27.1264,140.1349
-13.8882,167.2249
12.8,-88.0796
8.9223,-77.0904
-22.956,170.5524
52.7227,158.4935
36.523,70.943
-15.3766,166.3907
-60.8308,-20.025
23.1191,121.4138
-9.0472,-71.1783
-4.4661,-76.9283
-29.5642,-176.7217
12.1396,-87.8647
-30.2162,-177.8449
-16.6009,-177.3725
-21.6097,-177.1526
-18.9036,-176.2702
-28.5168,-176.6801
0.7821,-29.8656
-27.9162,-71.3701
34.1818,25.7101
44.4646,-115.1175
38.1689,-117.8497
52.4445,-176.8502
5.3176,126.049
-14.74,167.9135
23.1671,-108.6922
15.1066,-90.8052
-23.4224,-66.4954
-26.7196,-63.1128
40.525,-124.423
17.6609,120.8147
-4.812,153.5906
-22.0781,170.966
-44.6215,-79.6496
-57.7238,148.6769
-22.6577,170.8084
14.096,119.3811
27.7266,56.0716
-8.8783,158.4642
35.1691,26.2152
-36.7771,-73.9329
-29.9211,-177.3798
-29.961,-177.6758
-31.8334,-68.7992
45.4244,16.2573
-16.0944,168.065
-19.5385,-174.1217
7.2932,124.1331
-60.7833,-25.413
2.911,128.248
-27.367,-175.6102
62.358,171.0611
17.8686,-66.8266
52.7551,-168.2401
48.2521,140.7971
55.9733,158.3783
34.6094,62.1115
-52.0599,139.5902
34.5565,62.0449
34.5718,61.8816
34.5989,61.9313
26.5312,125.2312
-30.2763,-71.487
14.9004,-93.9011
-49.6093,163.8553
-5.9496,149.635
7.5671,-82.3345
-35.6663,-73.4965
-5.4205,146.8342
3.2796,128.1356
36.1616,36.0251
28.9804,139.3452
51.6079,178.5971
-58.7769,-26.1414
4.3584,-87.5675
-54.6506,-136.1522
52.0536,178.2682
-17.9601,-174.9679
-26.2125,178.4501
-3.3591,146.3506
-16.3146,166.8601
-25.2976,-176.2998
-69.7739,165.3918
-48.033,99.4949
32.7282,132.0386
-3.5226,151.1847
31.196,142.5026
11.2198,-86.5255
-0.7679,121.9083
-37.5763,179.5947
-28.749,-176.5578
39.7546,22.1757
-23.1911,171.5827
-5.6856,101.6495
-3.3226,146.1444
-29.4295,-178.744
13.82,120.6539
40.8667,142.5814
-6.0942,146.1738
6.2693,125.8285
-30.3388,-71.4912
-28.0315,-71.2662
-41.6794,42.4486
33.1438,86.8637
35.5948,82.4158
38.8953,142.0049
-10.0929,161.0606
2.3481,96.3575
-24.3221,-67.0048
18.82033333,-155.5271667
19.2355,121.2293
-26.8836,-63.2947
-28.1775,-63.1836
-24.0818,-175.576
-4.4729,144.8345
-23.5577,-175.6208
13.7629,120.7203
42.5268,141.9005
-6.9484,129.5293
37.5476,137.2994
-5.2611,125.585
13.7318,125.5376
-8.2322,158.9118
-6.0883,149.828
30.7936,-116.3907
-37.4652,-73.6757
-1.3636,-23.9041
3.8109,96.0514
-2.2313,138.1784
-2.2492,138.1979
-56.0375,-124.478
-0.988,98.6046
-5.0926,103.079
-22.1876,-68.5789
-8.2572,127.2079
-49.7722,-114.9698
24.0406,122.4888
14.1476,-91.3982
-0.417,-19.8913
-19.0992,-176.3135
53.2402,-166.682
-33.7823,179.574
24.0079,122.2592
40.3901667,-124.298
-16.3139,178.5777
22.8232,93.5061
-5.3122,153.7074
24.5108,121.8314
-13.69,167.0396
-60.4157,-27.5186
-23.7629,-67.0129
-4.9149,-80.6156
0.3165,126.2911
-28.3565,-177.8739
-28.4217,-177.7664
-28.8983,-176.6099
-18.9515,168.0675
-17.8292,167.5413
-2.9717,118.8899
-28.6357,-177.2713
-5.5454,151.8365
18.9317,145.1116
-21.3968,-69.9096
-17.1562,167.5321
12.0809,140.2476
-17.5304,167.8743
